"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"4002D";"4-input NOR";"";
"2";"4027D";"Dual JK FLIP FLOP";"";
"2";"4048D";"Expandable 8-input GATE";"";
"1";"4071D";"Quad 2-input OR";"";
"6";"4081D";"Quad 2-input AND";"";
